순번,일자,항공사,기종,비행단계,탑승,사망,사고 개요
84,2022-06-24,Russian AF,Ilyushin Il-76MD,ICL,9,5,"Russian AF 소속 Ilyushin Il-76MD 항공기가 러시아 Dyagilevo 기지에서 이륙 직후 4번 엔진에 화재 발생으로 들판에 착륙하였으나 나무에 충돌하여 기체가 화재에 휩싸이면서 탑승자 9명 중 5명은 사망, 3명은 부상을 입음."
85,2022-06-24,Icon Aviation,Fokker F-27 Friendship 500,TOF,3,0,"Icon Aviation 소속 Fokker F-27 Friendship 500 항공기가 남수단 Juba 공항에서 이륙 중 활주로를 이탈하였으나, 인명피해 없음."
86,2022-06-26,Alaska Seaplanes,Cessna 208 Caravan I,TOF,8,0,"Alaska Seaplanes 소속 Cessna 208 Caravan I 수상비행기가 알래스카 Elfin Cove에서 이수 중 해안가 바위에 충돌하였으나, 인명피해 없음."
87,2022-06-01,Voskhod LLC,Antonov An-2R,LDG,,0,"Voskhod LLC 소속 Antonov An-2R 항공기가 러시아 Oymyakon 비행장 인근에서 하드랜딩으로 인해 수리할 수 없을 정도로 파손되자, 잔해는 방수포로 덮은 후 같은 기종의 다른 항공기에 해당 사고기의 등록부호를 페인트로 덧칠한 것이 발견되어 조사에 착수, 인명피해 없음."
88,2022-07-01,Flying America,Learjet 35A,TOF,4,4,Flying America 소속 Learjet 35A 항공기가 아르헨티나 Rio Grande 공항에서 이륙 중 추락하여 탑승자 4명 전원 사망함.
89,2022-07-13,Alpha Star Aviation Services,Gulfstream G450,LDG,5,0,"Alpha Star Aviation Services 소속 Gulfstream G450 항공기가 사우디아라비아 Jeddah-King Abdulaziz 공항에 착륙 중 활주로를 이탈하여 항공기가 크게 손상되었으나, 인명피해 없음."
90,2022-07-13,"Corporate Air, opf. FedEx",Cessna 208B Super Cargomaster,LDG,1,0,"Corporate Air 소속 Cessna 208B Super Cargomaster 항공기가 미국 Salt Lake City 공항에서 복행 중 윈드시어 및 하강기류로 인해 지형지물에 충돌하여 활주로를 이탈하였으나, 인명피해 없음."
91,2022-07-15,"Aircraft Management Group, Inc",Raytheon Beechjet 400A,ICL,2,0,"Aircraft Management Group, Inc 소속 Raytheon Beechjet 400A 항공기가 미국 Brunswick-Glynco 공항에서 이륙하여 상승 중 조류충돌로 우측 노즈 부분이 관통되며 객실 여압장치에 문제가 발생하여 인근 공항으로 회항하여 무사히 착륙, 인명피해 없음. "
92,2022-07-15,Private,Antonov An-2R,UNK,2,2,"개인소유 Antonov An-2R 항공기가 러시아 Krasnodar 지역에서 전신주에 충돌하여 추락, 탑승자 2명 전원 사망함."
93,2022-07-16,Icon Aviation,Fokker 50,LDG,3,0,"Icon Aviation 소속 Fokker 50 항공기가 남수단 Rubkona 공항에 착륙 중 타이어가 터지면서 활주로를 이탈하였으나, 인명피해 없음."
94,2022-07-16,Meridian,Antonov An-12BK,ENR,8,8,Meridian 소속 Antonov An-12BK 항공기가 그리스 Kavala 부근에서 엔진 추력이 손상되면서 추락하여 탑승자 8명 전원 사망함.
95,2022-07-18,Jubba Airways,Fokker 50,LDG,36,0,"Jubba Airways 소속 Fokker 50가 소말리아 Mogadishu Aden Adde 공항에 착륙 중 윈드시어로 인해 활주로에 충돌 후 이탈하며 화재가 발생하여, 탑승자 3명이 경미한 부상을 입음."
96,2022-07-21,Anderson Air,Cessna 680 Citation Sovereign,LDG,9,0,"Anderson Air 소속 Cessna 680 Citation Sovereign 항공기가 미국 Kotzebue-Ralph Wien Memorial 공항에 착륙 중 활주로 상 물웅덩이로 인해 좌측 플랩이 손상되었으며, 인명피해 없음."
97,2022-07-22,Crop Protection Company,Antonov An-2,ENR,,0,"Crop Protection Company 소속 Antonov An-2 항공기가 수단 Omdurman Al Hara 서쪽 지역에서 비상착륙하는 과정에서 후방 타이어가 분리되었으며 프로펠러도 손상되었으나, 인명피해 없음."
98,2022-07-24,Delta Air Lines,Boeing 717-2BD,STD,90,0,"Delta Air Lines 소속 Boeing 717-2BD 항공기가 캐나다 Montreal-Pierre Elliott Trudeau 공항에 주기 중 수하물 컨베이어 차량이 동체 후방에 충돌하여 기체 손상을 입었으며, 인명피해 없음. "
99,2022-07-28,Rust's Flying Service,DHC-3T Vazar Turbine Otter,LDG,9,0,"Rust's Flying Service 소속 DHC-3T Vazar Turbine Otter 항공기가 미국 Talkeetna 공항에 착륙 활주 중 측풍으로 인해 활주로를 이탈하여 도랑에 충돌하였으나, 인명피해 없음."
100,2022-07-29,Rampart Aviation,CASA C-212 Aviocar 200,LDG,2,1,"Rampart Aviation 소속 CASA C-212 Aviocar 200 항공기가 미국 Raeford Wes공항에서 하드랜딩으로 인해 우측 랜딩기어가 파손되어 복행 후 Raleigh/Durham 공항으로 회항하여 착륙, 조종사 2인 중 1인 사망함. "
101,2022-07-30,Nok Air,Boeing 737-86N (WL),LDG,170,0,"Nok Air 소속 Boeing 737-86N (WL) 항공기가 태국 Chiang Rai 공항에 착륙 후 악기상으로 인해 활주로를 이탈하는 사고가 있었으나, 인명피해 없음."
102,2022-08-05,Qatar Airways Cargo,Boeing 777-FDZ,TXI,,0,"Qatar Airways Cargo 소속 Boeing 777-FDZ 항공기가 미국 Chicago-O'Hare 공항에서 지상이동 중 공항 조명장치에 충돌하여 우측 날개가 손상되었으며, 인명피해 없음. "
103,2022-08-06,Delta Air Lines,Boeing 757-251 (WL),LDG,203,0,"Delta Air Lines 소속 Boeing 757-251 (WL) 항공기가 미국 Atlanta Hartsfield-Jackson 공항에서 복행 중 테일스트라이크를 겪었으나 무사히 착륙, 인명피해 없음."
104,2022-08-07,Brasil Vida Taxi Aereo,IAI 1124 Westwind,LDG,3,0,"Brasil Vida Taxi Aereo 소속 IAI 1124 Westwind 항공기가 여압장치 이상으로 브라질 Goieaia-Nacional de Aviao 공항으로 회항하여 착륙 중 활주로를 이탈하여 콘크리트 벽과 펜스에 부딪혀 정지하였으나, 인명피해 없음."
105,2022-08-15,"Raber Flight Services, LLC",Cessna 560 Citation Encore,LDG,5,0,"Raber Flight Services, LLC 소속 Cessna 560 Citation Encore 항공기가 미국 Aspen-Pitkin County 공항에 착륙 중 활주로를 이탈하여 기체가 손상되었으나, 인명피해 없음."
106,2022-08-17,Angara Airlines,Antonov An-24B,LDG,48,0,"Angara Airlines 소속 Antonov An-24B 항공기가 악기상 상황에서 러시아 Ust-Kut 공항에 착륙 중 활주로를 이탈하여 좌측 날개 윙팁 및 노즈 랜딩기어가 손상되었으나, 인명피해 없음."
107,2022-08-20,PACC Air,Beech 99,LDG,1,0,"PACC Air 소속 Beech 99 항공기가 미국 Oshkosh-Wittman Field에 착륙 중 랜딩기어가 붕괴되었으나, 인명피해 없음."
108,2022-08-30,Smart Cakrawala Aviation,Cessna 208B Grand Caravan EX,LDG,4,0,"Smart Cakrawala Aviation 소속 Cessna 208B Grand Caravan EX 항공기가 인도네시아 Sinak 공항에 착륙 중 우천상황으로 인해 활주로를 이탈하여, 조종사 1명이 경미한 부상을 입음."
109,2022-08-31,-,Cessna 208 Caravan,APR,1,0,"소속불명 Cessna 208 Caravan 항공기가 아랍에미레이트 Abu Dhabi-Bateen 공항 남쪽 주차장에 불시착하여, 조종사 1명이 경미한 부상을 입음."
110,2022-09-02,TAP,Airbus A320-251N,LDG,79,2,"TAP 소속 Airbus A320-251N 항공기가 기니 Conakry-Gbessia 공항에 착륙하던 중 활주로에 난입하여 주행하던 오토바이 2대와 충돌, 오토바이 탑승자 2명 사망함."
111,2022-09-02,2nd Arkhangelsk United Aviation Division,Antonov An-2R,LDG,10,0,"2nd Arkhangelsk United Aviation Division 소속 Antonov An-2R 항공기가 러시아 Nes 부근 스트립에 착륙 중 왼쪽 하방 날개가 크게 손상되었으나, 인명피해 없음."
112,2022-09-03,SkyForce,Shorts SC.7 Skyvan 3M-400,APR,2,2,SkyForce 소속 Shorts SC.7 Skyvan 3M-400 항공기가 폴란드 Piotrkow Trybunalski-Bujny 공항에 착륙하기 위해 접근 중 원인미상의 이유로 추락하여 탑승자 2명 전원 사망함.
113,2022-09-04,Friday Harbor Seaplane Tours,DHC-3T Turbine Otter,ENR,10,10,Friday Harbor Seaplane Tours 소속 DHC-3T Turbine Otter 항공기가 미국 Mutiny Bay에 추락하여 탑승자 10명 전원 사망함.
114,2022-09-04,GG Rent,Cessna 551 Citation II/SP,ENR,4,4,"GG Rent 소속 Cessna 551 Citation II/SP 항공기가 스페인에서 독일로 가는 도중 순항고도 FL360에서 여압장치 이상이 발생, 조종사 및 탑승자 모두 의식을 잃은 채로 비행기는 자동항법으로 계속 비행하여 연료를 모두 소진하고 발트해에 추락하여 탑승자 4명 전원 사망함."
115,2022-09-07,Peddler LLC,Cessna 750 Citation X,LDG,2,0,Peddler LLC 소속 Cessna 750 Citation X 항공기가 미국 Tucson 공항 이륙 후 랜딩기어가 접히지 않는 것을 확인하여 Phoenix-Mesa Gateway 공항으로 회항하는 가운데 유압시스템 고장으로 착륙 후 비상브레이크를 사용하는 과정에서 좌측 타이어가 터져 활주로를 이탈하였으나 인명피해 없음.
116,2022-09-09,GH Equipment LLC,Learjet 36,LDG,2,0,GH Equipment LLC 소속 Learjet 36 항공기가 미국 North Island NAS-Halsey Field 공항에서 착륙 중 활주로를 이탈하여 조종사 2명이 경미한 부상을 입음.
117,2022-09-09,TAC9 Inc,Cirrus SF50 Vision Jet,APR,3,0,"TAC9 Inc 소속 Cirrus SF50 Vision Jet항공기가 미국 Kissimmee Gateway 공항에 접근 중 자동항법장치 이상으로 항공기에 장착된 낙하산을 이용하여 불시착하여, 탑승자 3명 중 1명은 중상을 입었으며 2명은 경미한 부상을 입음."
118,2022-09-10,Piquiatuba Taxi Aereo,Cessna 208B Grand Caravan,ENR,5,1,"Piquiatuba Taxi Aereo 소속 Cessna 208B Grand Caravan 항공기가 엔진 동력 상실으로 불시착하는 과정에서 조종사가 사망하였으며, 나머지 탑승자들은 부상을 입음."
119,2022-09-10,TRACEP-Congo Aviation,Antonov An-28,ENR,3,3,"TRACEP-Congo Aviation 소속 Antonov An-28 항공기가 콩고민주공화국 Bukavu-Kavumu 공항에서 이륙 후 충분한 고도를 얻지 않은 상태에서 좌선회, 구름에 시야가 가려져 언덕에 충돌하면서 탑승자 3명 전원 사망함."
120,2022-09-15,Aeronaves TSM,Fairchild SA227-AC Metro III,UNK,2,0,"Fairchild SA227-AC Metro III 소속 Aeronaves TSM 항공기가 멕시코 Ramos Arizpe 부근의 거친 지형지물에 비상착륙 하는 과정에서 기체가 손상되었지만, 인명피해 없음. "
121,2022-09-19,Equaflight,Beech 1900C-1,LDG,19,0,"Equaflight 소속 Beech 1900C-1 항공기가 콩고 Pointe-Noire Agostinho-Neto 공항에 착륙하면서 우측 랜딩기어가 붕괴되었으나, 인명피해 없음."
122,2022-09-20,Pacific Cataract and Laser Institute Inc,Cessna 525B CitationJet CJ3,LDG,10,0,"Pacific Cataract and Laser Institute Inc 소속 Cessna 525B CitationJet CJ3 항공기가 미국 Pasco-Tri-Cities 공항에 동체착륙을 하며 항공기는 전소되었지만, 인명피해 없음."
123,2022-09-20,SAETA Peru,BAe 3201 Jetstream 32EP,TOF,17,1,"SAETA Peru 소속 BAe 3201 Jetstream 32EP 항공기가 페루 El Estrecho 공항에서 이륙 중 활주로를 오버런하면서 벽에 부딪혀, 탑승객 17명 중 1명이 병원으로 이송 후 사망하였으며 나머지 16명은 경미한 부상에서 중상에 이르기까지 부상을 입음."
124,2022-09-20,Pepkor Group,Dassault Falcon 2000,TOF,11,0,"Pepkor Group 소속 Dassault Falcon 2000 헝공기가 남아프리카 Pietermaritzburg 공항에서 이륙 활주 중 우측 엔진 조류충돌로 활주로를 이탈할 뻔 하면서 이륙 포기 후 활주로 상에 정지, 인명피해 없음."
125,2022-09-21,Private,Rockwell Sabreliner 65,STD,0,0,"개인소유 Rockwell Sabreliner 65 항공기가 베네수엘라 Zulia 부근 불법활주로에서 전소한 채로 발견되었으며, 마약 운송에 사용된 것으로 추정됨."
126,2022-09-21,Jags Aviation,Britten Norman BN-2A-8 Islander,LDG,9,0,"Jags Aviation 소속 Britten Norman BN-2A-8 Islander 항공기가 가이아나 Eteringbang 공항에 착륙 중 활주로를 이탈하여 노즈, 좌측 날개 및 좌측 랜딩기어가 손상되었으나 인명피해 없음."
127,2022-09-22,Crop Protection Company,Antonov An-2R,UNK,,0,"Crop Protection Company 소속 Antonov An-2R 항공기가 원인불명의 이유로 우측 랜딩기어가 부러지면서 우측 하방 날개에 손상을 입었으나, 인명피해 없음."
128,2022-09-22,SunExpress,Boeing 737-8HC (WL),STD,,0,"SunExpress 소속 Boeing 737-8HC (WL) 항공기가 독일 Koln/Bonn-Konrad Adenauer 공항에 주기 중에 지상 차량이 충돌하며 동체 표피에 구멍이 생겼으며, 인명피해 없음."
129,2022-09-24,"West Atlantic (UK), opf. Swiftair",Boeing 737-436,LDG,3,0,"Swiftair 소속 Boeing 737-436 항공기가 프랑스 Montpellier-Mediterranee 공항에 착륙 중 강한 강우로 활주로를 이탈하였으나, 인명피해 없음."
130,2022-09-25,Freedom Airline,Fokker 50,STD,,0,"Freedom Airline 소속 Learjet Fokker 50 항공기가 소말리아 Mogadishu Aden Adde 공항에서 우측 엔진의 프로펠러가 지상발전기를 강타하면서 블레이드가 파손되어 동체를 꿰뚫었으나, 인명피해 없음."
131,2022-09-25,Copa Airlines,Boeing 737-8V3 (WL),LDG,159,0,"Copa Airlines 소속 Boeing 737-8V3 (WL) 항공기가 파나마 Panama City-Tocumen 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음. "
132,2022-09-27,ABS Equipment Leasing,Cessna 550 Citation II,LDG,2,0,"ABS Equipment Leasing 소속 Cessna 550 Citation II 항공기가 미국 Waco-McGregor Executive 공항에 착륙 중 활주로를 이탈하였으나, 인명피해 없음."
133,2022-10-01,Transavia France,Boeing 737-8GJ (WL),LDG,160,0,"Transavia France 소속 Boeing 737-8GJ (WL) 항공기가 프랑스 Nantes Atlantique 공항에 착륙 중 하드랜딩으로 노즈 타이어가 터졌으나, 인명피해 없음."
134,2022-10-03,Torres Strait Air,BN-2A-21 Islander,ENR,7,0,"Torres Strait Air 소속 BN-2A-21 Islander 항공기가 호주 Horn Island 공항으로 향하던 중 엔진 동력 상실로 Moa Island 지역에 비상착륙 하는 과정에서 꼬리날개가 동체에서 분리되었으나, 인명피해 없음."
135,2022-10-03,Partee Aviation LLC,Embraer EMB-545 Legacy 450,ENR,4,0,"Partee Aviation LLC 소속 Embraer EMB-545 Legacy 450 항공기가 미국 Houston-William P. Hobby 공항으로 비행 중 객실출입문이 열리면서 문과 동체가 손상되었으나, 무사히 착륙하여 인명피해 없음."
136,2022-10-05,Sky Express,ATR 42-500,TXI,,0,"Sky Express 소속 ATR 42-500 항공기가 그리스 Athens-Eleftherios Venizelos 공항 주기장에서 지상이동 중 좌측 날개와 지상탑승교와 충돌하여 에일러론 및 윙팁에 심각한 손상을 입었으며, 인명피해 없음."
137,2022-10-13,True North Airways,DHC-3T Vazar Turbine Otter,APR,1,0,True North Airways 소속 DHC-3T Vazar Turbine Otter 수상항공기가 캐나다 Lac PLuto로 접근 중 수면에 추락하여 조종사는 중상을 입음.
138,2022-10-13,SAETA Peru,Cessna 208B Grand Caravan,ENR,12,0,"SAETA Peru 소속 Cessna 208B Grand Caravan 항공기가 페루 Jeberos 부근에서 습지로 비상착륙 하는 과정에서 기체에 심각한 손상을 입었으며, 인명피해 없음."
139,2022-10-16,Panamerican Training Center - PTC,Cirrus SF50 Vision Jet G2,TOF,7,1,"Panamerican Training Center 소속 Cirrus SF50 Vision Jet G2 항공기가 페루 Santa Marta-Simon Bolivar 공항에서 이륙 포기 과정에서 활주로를 이탈하면서 공항 펜스를 뚫고 나가 도로 행인들을 덮쳐, 행인 중 1명이 사망하였으며 탑승자는 인명피해 없음."
140,2022-10-19,Perimeter Aviation,DHC-8-314 Dash 8,LDG,31,0,Perimeter Aviation 소속 DHC-8-314 Dash 8 항공기가 캐나다 Sandy Lake 공항에 착륙 중 테일스트라이크를 겪었으나 인명피해 없음.
141,2022-10-23,Korean Air,Airbus A330-322,LDG,176,0,"Korean Air 소속 Airbus A330-322 항공기가 필리핀 Mactan-Cebu 공항에서 악기상으로 총 세 번의 시도 끝에 착륙 중 활주로를 이탈하여 로컬라이저에 충돌하였으며, 인명피해 없음."
142,2022-10-27,Vigili del Fuoco,Canadair CL-415,MNV,2,2,Vigili del Fuoco 소속 Canadair CL-415 항공기가 이탈리아 Linguaglossa 부근에서 소방활동 중 산에 충돌하여 조종사 2명 전원 사망함.
143,2022-10-28,Uruguayan AF,Embraer EMB-110C Bandeirante,TXI,2,0,"Uruguayan AF 소속 Embraer EMB-110C Bandeirante 항공기가 우루과이 Montevideo-Carrasco 공항에서 지상이동 중 유압시스템 이상으로 건물과 충돌하여 기체가 손상되었으며, 인명피해 없음."
144,2022-11-03,Craig LLC,Eclipse EA-550,LDG,2,0,"Craig LLC 소속 Eclipse EA-550 항공기가 미국 Mesa-Falcon Field 비행장에 착륙 후 활주로를 이탈하여 배수로에 충돌하였으나, 인명피해 없음."
145,2022-11-04,Goma Express,Let L-410UVP-E20,ENR,3,3,"Goma Express 소속 Let L-410UVP-E20 항공기가 콩고민주공화국 Kasese 지역에서 실종된 후 잔해가 발견되었지만, 탑승자 3명 전원 사망함. "
146,2022-11-06,Venezuela AF,Cessna 208B Grand Caravan,APR,5,5,Venezuela AF 소속 Cessna 208B Grand Caravan 항공기가 베네수엘라 Puerto Ayacucho 공항에 접근 중 공항 3km 지점에서 추락하여 탑승자 5명 전원 사망함.
147,2022-11-06,Precision Air,ATR 42-500,APR,43,19,Precision Air 소속 ATR 42-500 항공기가 탄자니아 Bukoba 공항에 접근 중 Victoria 호수에 추락하여 조종사 2명과 탑승객 7명이 사망함.
148,2022-11-09,American Airlines,Boeing 737-823 (WL),TXI,,0,"American Airlines 소속 Boeing 737-823 (WL) 항공기의 꼬리가 미국 Chicago-O'Hare 공항에서 지상이동 중 Southwest Airlines 소속 B737 항공기의 날개와 충돌, 인명피해 없음."
149,2022-11-09,Southwest Airlines,Boeing 737-7H4 (WL),TXI,,0,"Southwest Airlines 소속 Boeing 737-7H4 (WL) 항공기의 날개가 미국 Chicago-O'Hare 공항에서 지상이동 중 American Airlines 소속 B737 항공기의 꼬리와 충돌, 인명피해 없음."
150,2022-11-14,ENSA,Antonov An-2,ENR,2,0,"ENSA 소속 Antonov An-2 항공기가 미국 Opa-Locka 공항 서쪽 15마일 지점에서 비상착륙 중 전복되었으나, 인명피해 없음. "
151,2022-11-15,Ameriflight,Fairchild SA227-AT Expediter,APR,3,0,"Ameriflight 소속 Fairchild SA227-AT Expediter 항공기가 미국 Waukesha County 공항 6키로 지점에서 추락하여 양 날개가 동체에서 분리되었으나, 조종사들은 경미한 부상을 입음."
152,2022-11-15,Andersen Air LLC,Honda HA-420 HondaJet,TOF,2,0,"Andersen Air LLC 소속 Honda HA-420 HondaJet 항공기가 미국 Salt Lake City 공항에서 이륙 중 택시등화 및 활주로 등화시설에 충돌하여 이륙을 포기, 인명피해 없음."
153,2022-11-18,Copper Mountain Aviation LLC,Cessna 208B Grand Caravan EX,MNV,4,4,Copper Mountain Aviation LLC 소속 Cessna 208B Grand Caravan EX 항공기가 미국 Snohomish 부근에서 지형지물에 충돌하여 탑승자 4명 전원 사망함.
154,2022-11-18,LATAM Peru,Airbus A320-271N,TOF,108,2,LATAM Peru 소속 Airbus A320-271N 항공기는 페루 Lima-Jorge Chavez 공항에서 이륙 중 소방차와 충돌하여 항공기 탑승자의 인명피해는 없었지만 소방차에 탑승하고 있던 소방관 3명 중 2명이 사망하고 1명은 중상을 입음.
155,2022-11-20,"ASL Airlines Belgium, opf. Bluebird Cargo",Boeing 737-4Q8 (SF),TXI,,0,"Bluebird Cargo 소속 Boeing 737-4Q8 (SF) 항공기는 프랑스 Paris-Charles de Gaulle 공항에서 지상이동 중 공항 구조물과 충돌하였으며, 인명피해 없음."
156,2022-11-25,Verijet,Cirrus SF50 Vision Jet G2,ICL,1,0,"Verijet 소속 Cirrus SF50 Vision Jet G2 항공기가 미국 Indianapolis Regional 공항에서 이륙 직후 자동항법장치 오작동으로 실속에 빠져 항공기에 장착된 낙하산을 이용하여 불시착하였으며, 인명피해 없음."
157,2022-11-29,Jett Aircraft,Learjet 45,LDG,8,0,"Jett Aircraft 소속 Learjet 45 항공기가 미국 Batesville Regional 공항에 착륙하던 중 젖어있던 활주로로 인해 활주로를 이탈하며 공항 펜스에 충돌, 조종사 2명은 경미한 부상을 입었으며 탑승객 6명은 인명피해 없음."
158,2022-11-30,Aery Aviation,Learjet 36,TOF,3,0,"Aery Aviation 소속 Learjet 36 항공기가 미국 Newport News/Williamsburg 공항에서 이륙 중 타이어가 터졌으나, 인명피해 없음."
159,2022-12-01,"REVA, Inc.",Learjet 35A,LDG,4,0,"REVA, Inc. 소속 Learjet 35A 항공기가 쿠바 Guantanamo Naval Air Station에 착륙 중 원인불명의 이유로 사고를 겪었으나, 인명피해 없음."
160,2022-12-15,Key Lime Air,Swearingen SA226-TC Metro II,LDG,1,0,"Key Lime Air 소속 Swearingen SA226-TC Metro II 항공기가 미국 Wichita Dwight D. Eisenhower National 공항에 실수로 동체착륙을 하여 기체가 손상되었으며, 인명피해 없음."
161,2022-12-17,Blue Bird Aviation,DHC-8-402QPF Dash 8,LDG,6,0,"Blue Bird Aviation 소속 DHC-8-402QPF Dash 8 항공기가 소말리아 Abudwak 비행장에서 착륙 중 우측 메인기어가 붕괴되었으나, 인명피해 없음."
162,2022-12-26,"Mid Africa Aviation, opf. Tarco Aviation",Boeing 737-3Z0,TOF,,0,"Tarco Aviation 소속 Boeing 737-3Z0 항공기가 소말리아 Mogadishu Aden Adde 공항에서 이륙 중 우측 엔진에서 진동 및 소음을 감지하고 이륙을 포기하였으나, 인명피해 없음."
163,2022-12-27,Skystallion LLC,Embraer Phenom 300,LDG,7,0,"Skystallion LLC 소속 Embraer Phenom 300 항공기가 미국 Hawthorne 공항에 착륙 중 활주로를 이탈하여 공항 펜스에 충돌 후 정지하여 노즈기어가 붕괴되었으나, 인명피해 없음."
164,2022-12-30,Private,Canadair CL-600S Challenger 600,ENR,2,2,개인소유 Canadair CL-600S Challenger 600 항공기가 멕시코 Venado 지역에 추락하여 조종사 2명 전원 사망함.
165,2022-12-31,BAR Aviation,Cessna 208B Grand Caravan,LDG,5,0,"BAR Aviation 소속 Cessna 208B Grand Caravan 항공기가 우간다 Mweya 공항에 착륙 중 활주로를 이탈하여 건물에 충돌하였으나, 인명피해 없음."
